Team,Elo,Conference,RatingUpdated
Vanderbilt Commodores,1163.86413054094,SEC,False
Chattanooga Mocs,964.0672496527524,Southern,False
East Tennessee State Bucs,937.3560110773348,Southern,False
Furman Paladins,939.0049886523374,Southern,False
Mercer Bears,982.539923436195,Southern,False
Samford Bulldogs,914.9352534229796,Southern,False
UNC Greensboro Spartans,957.1672716073432,Southern,False
Western Carolina Catamounts,863.1570299777027,Southern,False
Wofford Terriers,970.052602303806,Southern,False
East Texas A&M Lions,958.8194696157386,Southland,False
Houston Christian Huskies,942.7804577419055,Southland,True
Incarnate Word Cardinals,908.4561272859428,Southland,False
Lamar Cardinals,982.0023927171436,Southland,False
McNeese Cowgirls,1008.6716874751871,Southland,True
New Orleans Privateers,883.7870141108035,Southland,False
Nicholls Colonels,970.5878498292064,Southland,False
Northwestern State Lady Demons,947.9234050349868,Southland,False
SE Louisiana Lady Lions,926.6714744170228,Southland,False
Stephen F. Austin Ladyjacks,976.5711082755438,Southland,False
Texas A&M-Corpus Christi Islanders,876.3968541785014,Southland,False
UT Rio Grande Valley Vaqueros,951.2279490830418,Southland,False
Denver Pioneers,965.4454431480524,Summit,False
Kansas City Roos,911.039031569186,Summit,False
North Dakota Fighting Hawks,886.9496850828137,Summit,False
North Dakota State Bison,1072.8919320121831,Summit,False
Omaha Mavericks,863.1875445176671,Summit,False
Oral Roberts Golden Eagles,959.812993887312,Summit,False
South Dakota Coyotes,1072.5462441233294,Summit,False
South Dakota State Jackrabbits,1074.2929304732047,Summit,False
St. Thomas-Minnesota Tommies,913.9516091576432,Summit,False
App State Mountaineers,1050.7375829933274,Sun Belt,False
Arkansas State Red Wolves,1044.460772780871,Sun Belt,False
Coastal Carolina Chanticleers,1035.8590243167855,Sun Belt,False
Georgia Southern Eagles,1042.666254160243,Sun Belt,False
Georgia State Panthers,960.0216970144068,Sun Belt,True
James Madison Dukes,1096.1649519587156,Sun Belt,False
Louisiana Ragin' Cajuns,893.4430769164602,Sun Belt,False
Marshall Thundering Herd,1026.3905272130953,Sun Belt,False
Old Dominion Monarchs,1022.2660618919105,Sun Belt,False
South Alabama Jaguars,1064.341275749076,Sun Belt,False
Southern Miss Lady Eagles,989.1294281496372,Sun Belt,False
Texas State Bobcats,957.1707013445048,Sun Belt,False
Troy Trojans,1108.6293431181018,Sun Belt,False
