Long Beach State Beach,Big West
UC Davis Aggies,Big West
UC Irvine Anteaters,Big West
UC Riverside Highlanders,Big West
UC San Diego Tritons,Big West
UC Santa Barbara Gauchos,Big West
Campbell Fighting Camels,CAA
Charleston Cougars,CAA
Drexel Dragons,CAA
Elon Phoenix,CAA
Hampton Lady Pirates,CAA
Hofstra Pride,CAA
Monmouth Hawks,CAA
North Carolina A&T Aggies,CAA
Northeastern Huskies,CAA
Stony Brook Seawolves,CAA
Towson Tigers,CAA
UNC Wilmington Seahawks,CAA
William & Mary Tribe,CAA
Delaware Blue Hens,CUSA
Florida International Panthers,CUSA
Jacksonville State Gamecocks,CUSA
Kennesaw State Owls,CUSA
Liberty Flames,CUSA
Louisiana Tech Lady Techsters,CUSA
Missouri State Bears,CUSA
Middle Tennessee Blue Raiders,CUSA
New Mexico State Aggies,CUSA
Sam Houston Bearkats,CUSA
UTEP Miners,CUSA
Western Kentucky Lady Toppers,CUSA
Cleveland State Vikings,Horizon
Detroit Mercy Titans,Horizon
Green Bay Phoenix,Horizon
IU Indianapolis Jaguars,Horizon
Milwaukee Panthers,Horizon
Northern Kentucky Norse,Horizon
Oakland Golden Grizzlies,Horizon
Purdue Fort Wayne Mastodons,Horizon
Robert Morris Colonials,Horizon
Wright State Raiders,Horizon
Youngstown State Penguins,Horizon
Brown Bears,Ivy League
Columbia Lions,Ivy League
Cornell Big Red,Ivy League
Dartmouth Big Green,Ivy League
Harvard Crimson,Ivy League
Pennsylvania Quakers,Ivy League
Princeton Tigers,Ivy League
Yale Bulldogs,Ivy League
Canisius Golden Griffins,MAAC
Fairfield Stags,MAAC
Iona Gaels,MAAC
Manhattan Jaspers,MAAC
Marist Red Foxes,MAAC
Merrimack Warriors,MAAC
Mount St. Mary's Mountaineers,MAAC
Niagara Purple Eagles,MAAC
Quinnipiac Bobcats,MAAC
Rider Broncs,MAAC
Sacred Heart Pioneers,MAAC
Siena Saints,MAAC
Saint Peter's Peacocks,MAAC
Akron Zips,MAC
Ball State Cardinals,MAC
Bowling Green Falcons,MAC
Buffalo Bulls,MAC
Central Michigan Chippewas,MAC
Eastern Michigan Eagles,MAC
Kent State Golden Flashes,MAC
Miami (OH) RedHawks,MAC
Northern Illinois Huskies,MAC
Ohio Bobcats,MAC
Toledo Rockets,MAC
Massachusetts Minutemen,MAC
Western Michigan Broncos,MAC
Coppin State Eagles,MEAC
Delaware State Hornets,MEAC
Howard Bison,MEAC
Maryland Eastern Shore Hawks,MEAC
Morgan State Lady Bears,MEAC
North Carolina Central Eagles,MEAC
Norfolk State Spartans,MEAC
South Carolina State Lady Bulldogs,MEAC
Air Force Falcons,Mountain West
Boise State Broncos,Mountain West
Colorado State Rams,Mountain West
Fresno State Bulldogs,Mountain West
Grand Canyon Lopes,Mountain West
Nevada Wolf Pack,Mountain West
New Mexico Lobos,Mountain West
San Diego State Aztecs,Mountain West
San Jose State Spartans,Mountain West
UNLV Lady Rebels,Mountain West
Utah State Aggies,Mountain West
Wyoming Cowgirls,Mountain West
Belmont Bruins,MVC
Bradley Braves,MVC
Drake Bulldogs,MVC
Evansville Purple Aces,MVC
Illinois State Redbirds,MVC
Indiana State Sycamores,MVC
Murray State Racers,MVC
Northern Iowa Panthers,MVC
Southern Illinois Salukis,MVC
UIC Flames,MVC
Valparaiso Beacons,MVC
Central Connecticut Blue Devils,NEC
Chicago State Cougars,NEC
Fairleigh Dickinson Knights,NEC
Le Moyne Dolphins,NEC
Long Island University Sharks,NEC
Mercyhurst Lakers,NEC
New Haven Chargers,NEC
Saint Francis Red Flash,NEC
Stonehill Skyhawks,NEC
Wagner Seahawks,NEC
Eastern Illinois Panthers,OVC
Lindenwood Lions,OVC
Little Rock Trojans,OVC
Morehead State Eagles,OVC
Southeast Missouri State Redhawks,OVC
SIU Edwardsville Cougars,OVC
Southern Indiana Screaming Eagles,OVC
Tennessee State Lady Tigers,OVC
Tennessee Tech Golden Eagles,OVC
UT Martin Skyhawks,OVC
Western Illinois Leathernecks,OVC
American University Eagles,Patriot
Army Black Knights,Patriot
Boston University Terriers,Patriot
Bucknell Bison,Patriot
Colgate Raiders,Patriot
Holy Cross Crusaders,Patriot
Lafayette Leopards,Patriot
Lehigh Mountain Hawks,Patriot
Loyola Maryland Greyhounds,Patriot
Navy Midshipmen,Patriot
Alabama Crimson Tide,SEC
Arkansas Razorbacks,SEC
Auburn Tigers,SEC
Florida Gators,SEC
Georgia Lady Bulldogs,SEC
Kentucky Wildcats,SEC
LSU Tigers,SEC
Mississippi State Bulldogs,SEC
Missouri Tigers,SEC
Oklahoma Sooners,SEC
Ole Miss Rebels,SEC
South Carolina Gamecocks,SEC
Tennessee Lady Volunteers,SEC
Texas Longhorns,SEC
Texas A&M Aggies,SEC
Vanderbilt Commodores,SEC
Chattanooga Mocs,Southern
East Tennessee State Bucs,Southern
Furman Paladins,Southern
Mercer Bears,Southern
Samford Bulldogs,Southern
UNC Greensboro Spartans,Southern
Western Carolina Catamounts,Southern
Wofford Terriers,Southern
East Texas A&M Lions,Southland
Houston Christian Huskies,Southland
Incarnate Word Cardinals,Southland
Lamar Cardinals,Southland
McNeese Cowgirls,Southland
New Orleans Privateers,Southland
Nicholls Colonels,Southland
Northwestern State Lady Demons,Southland
SE Louisiana Lady Lions,Southland
Stephen F. Austin Ladyjacks,Southland
Texas A&M-Corpus Christi Islanders,Southland
UT Rio Grande Valley Vaqueros,Southland
Denver Pioneers,Summit
Kansas City Roos,Summit
North Dakota Fighting Hawks,Summit
North Dakota State Bison,Summit
Omaha Mavericks,Summit
Oral Roberts Golden Eagles,Summit
South Dakota Coyotes,Summit
South Dakota State Jackrabbits,Summit
St. Thomas-Minnesota Tommies,Summit
App State Mountaineers,Sun Belt
Arkansas State Red Wolves,Sun Belt
Coastal Carolina Chanticleers,Sun Belt
Georgia Southern Eagles,Sun Belt
Georgia State Panthers,Sun Belt
James Madison Dukes,Sun Belt
Louisiana Ragin' Cajuns,Sun Belt
Marshall Thundering Herd,Sun Belt
Old Dominion Monarchs,Sun Belt
South Alabama Jaguars,Sun Belt
Southern Miss Lady Eagles,Sun Belt
Texas State Bobcats,Sun Belt
Troy Trojans,Sun Belt
UL Monroe Warhawks,Sun Belt
Alabama A&M Bulldogs,SWAC
Alabama State Lady Hornets,SWAC
Alcorn State Lady Braves,SWAC
Arkansas-Pine Bluff Golden Lions,SWAC
Bethune-Cookman Wildcats,SWAC
Florida A&M Rattlers,SWAC
Grambling Lady Tigers,SWAC
Jackson State Lady Tigers,SWAC
Mississippi Valley State Devilettes,SWAC
Prairie View A&M Lady Panthers,SWAC
Southern Jaguars,SWAC
Texas Southern Tigers,SWAC
Abilene Christian Wildcats,WAC
California Baptist Lancers,WAC
Southern Utah Thunderbirds,WAC
Tarleton State Texans,WAC
UT Arlington Mavericks,WAC
Utah Tech Trailblazers,WAC
Utah Valley Wolverines,WAC
Gonzaga Bulldogs,WCC
Loyola Marymount Lions,WCC
Oregon State Beavers,WCC
Pacific Tigers,WCC
Pepperdine Waves,WCC
Portland Pilots,WCC
San Diego Toreros,WCC
San Francisco Dons,WCC
Santa Clara Broncos,WCC
Seattle U Redhawks,WCC
Saint Mary's Gaels,WCC

Washington State Cougars,WCC

