Team,Elo,Conference,Notes,RatingUpdated
Oakland Golden Grizzlies,1000,Horizon,,FALSE
Ohio Bobcats,1000,MAC,,FALSE
Ohio State Buckeyes,1000,Big 10,,FALSE
Oklahoma Sooners,1000,SEC,,FALSE
Ole Miss Rebels,1000,SEC,,FALSE
Omaha Mavericks,1000,Summit,,FALSE
Oral Roberts Golden Eagles,1000,Summit,,FALSE
Oregon Ducks,1000,Big 10,,FALSE
Oregon State Beavers,1000,WCC,,FALSE
Pacific Tigers,1000,WCC,,FALSE
Penn State Nittany Lions,1000,Big 10,,FALSE
Pennsylvania Quakers,1000,Ivy League,,FALSE
Pepperdine Waves,1000,WCC,,FALSE
Pittsburgh Panthers,1000,ACC,,FALSE
Portland Pilots,1000,WCC,,FALSE
Portland State Vikings,1000,Big Sky,,FALSE
Prairie View A&M Panthers,1000,SWAC,,FALSE
Presbyterian Blue Hose,1000,Big South,,FALSE
Princeton Tigers,1000,Ivy League,,FALSE
Providence Friars,1000,Big East,,FALSE
Purdue Boilermakers,1000,Big 10,,FALSE
Purdue Fort Wayne Mastodons,1000,Horizon,,FALSE
Queens University Royals,1000,ASUN,,FALSE
Quinnipiac Bobcats,1000,MAAC,,FALSE
Radford Highlanders,1000,Big South,,FALSE
Rhode Island Rams,1000,A10,,FALSE
Rice Owls,1000,American,,FALSE
Rider Broncs,1000,MAAC,,FALSE
Robert Morris Colonials,1000,Horizon,,FALSE
Rutgers Scarlet Knights,1000,Big 10,,FALSE
SE Louisiana Lions,1000,Southland,,FALSE
SIU Edwardsville Cougars,1000,OVC,,FALSE
SMU Mustangs,1000,ACC,,FALSE
Sacramento State Hornets,1000,Big Sky,,FALSE
Sacred Heart Pioneers,1000,MAAC,,FALSE
Saint Francis Red Flash,1000,NEC,,FALSE
Saint Louis Billikens,1000,A10,,FALSE
Saint Mary's Gaels,1000,WCC,,FALSE
Saint Peter's Peacocks,1000,MAAC,,FALSE
Sam Houston Bearkats,1000,CUSA,,FALSE
Samford Bulldogs,1000,Southern,,FALSE
San Diego State Aztecs,1000,Mountain West,,FALSE
San Diego Toreros,1000,Mountain West,,FALSE
San Francisco Dons,1000,WCC,,FALSE
San José State Spartans,1000,Mountain West,,FALSE
Santa Clara Broncos,1000,WCC,,FALSE
Savannah State Tigers,1000,,,FALSE
Seattle U Redhawks,1000,WCC,,FALSE
Seton Hall Pirates,1000,Big East,,FALSE
Siena Saints,1000,MAAC,,FALSE
South Alabama Jaguars,1000,Sun Belt,,FALSE
South Carolina Gamecocks,1000,Big South,,FALSE
South Carolina State Bulldogs,1000,Big South,,FALSE
South Carolina Upstate Spartans,1000,Big South,,FALSE
South Dakota Coyotes,1000,Summit,,FALSE
South Dakota State Jackrabbits,1000,Summit,,FALSE
South Florida Bulls,1000,American,,FALSE
Southeast Missouri State Redhawks,1000,OVC,,FALSE
Southern Illinois Salukis,1000,MVC,,FALSE
Southern Indiana Screaming Eagles,1000,OVC,,FALSE
Southern Jaguars,1000,SWAC,,FALSE
Southern Miss Golden Eagles,1000,Sun Belt,,FALSE
Southern Utah Thunderbirds,1000,WAC,,FALSE
St. John's Red Storm,1000,Big East,,FALSE
St. Thomas Tommies,1000,Summit,,FALSE
Stanford Cardinal,1000,ACC,,FALSE
Stephen F. Austin Lumberjacks,1000,Southland,,FALSE
Stetson Hatters,1000,ASUN,,FALSE
Stonehill Skyhawks,1000,NEC,,FALSE
Stony Brook Seawolves,1000,CAA,,FALSE
Syracuse Orange,1000,ACC,,FALSE
TCU Horned Frogs,1000,Big 12,,FALSE
Tarleton State Texans,1000,WAC,,FALSE
Temple Owls,1000,American,,FALSE
Tennessee State Tigers,1000,OVC,,FALSE
Tennessee Tech Golden Eagles,1000,OVC,,FALSE
Tennessee Volunteers,1000,SEC,,FALSE
Texas A&M Aggies,1000,SEC,,FALSE
Texas A&M-Corpus Christi Islanders,1000,Southland,,FALSE
Texas Longhorns,1000,SEC,,FALSE
Texas Southern Tigers,1000,SWAC,,FALSE
Texas State Bobcats,1000,Sun Belt,,FALSE
Texas Tech Red Raiders,1000,Big 12,,FALSE
The Citadel Bulldogs,1000,,,FALSE
Toledo Rockets,1000,MAC,,FALSE
Towson Tigers,1000,CAA,,FALSE
Troy Trojans,1000,Sun Belt,,FALSE
Tulane Green Wave,1000,American,,FALSE
Tulsa Golden Hurricane,1000,American,,FALSE
UAB Blazers,1000,American,,FALSE
UAlbany Great Danes,1000,America East,,FALSE
UC Davis Aggies,1000,Big West,,FALSE
UC Irvine Anteaters,1000,Big West,,FALSE
UC Riverside Highlanders,1000,Big West,,FALSE
UC Santa Barbara Gauchos,1000,Big West,,FALSE
UCF Knights,1000,Big 12,,FALSE
UCLA Bruins,1000,Big 10,,FALSE
UConn Huskies,1000,Big East,,FALSE
UIC Flames,1000,MVC,,FALSE
UL Monroe Warhawks,1000,Sun Belt,,FALSE
UMBC Retrievers,1000,America East,,FALSE
UNC Asheville Bulldogs,1000,Big South,,FALSE
UNC Greensboro Spartans,1000,Southern,,FALSE
UNC Wilmington Seahawks,1000,CAA,,FALSE
UNLV Rebels,1000,Mountain West,,FALSE
USC Trojans,1000,Big 10,,FALSE
UT Arlington Mavericks,1000,WAC,,FALSE
UT Martin Skyhawks,1000,OVC,,FALSE
UT Rio Grande Valley Vaqueros,1000,Southland,,FALSE
UTEP Miners,1000,CUSA,,FALSE
UTSA Roadrunners,1000,American,,FALSE
Utah State Aggies,1000,Mountain West,,FALSE
Utah Tech Trailblazers,1000,WAC,,FALSE
Utah Utes,1000,Big 12,,FALSE
Utah Valley Wolverines,1000,WAC,,FALSE
VCU Rams,1000,A10,,FALSE
Valparaiso VALPARAISO,1000,MVC,,FALSE
Villanova Wildcats,1000,Big East,,FALSE
Virginia Cavaliers,1000,ACC,,FALSE
Virginia Tech Hokies,1000,ACC,,FALSE
Wake Forest Demon Deacons,1000,ACC,,FALSE
Washington Huskies,1000,Big 10,,FALSE
Washington State Cougars,1000,WCC,,FALSE
Weber State Wildcats,1000,Big Sky,,FALSE
West Georgia Wolves,1000,ASUN,,FALSE
West Virginia Mountaineers,1000,Big 12,,FALSE
Western Carolina Catamounts,1000,Southern,,FALSE
Western Illinois Leathernecks,1000,OVC,,FALSE
Western Kentucky Hilltoppers,1000,CUSA,,FALSE
Western Michigan Broncos,1000,MAC,,FALSE
Wichita State Shockers,1000,American,,FALSE
William & Mary Tribe,1000,CAA,,FALSE
Winthrop Eagles,1000,Big South,,FALSE
Wisconsin Badgers,1000,Big 10,,FALSE
Wofford Terriers,1000,Southern,,FALSE
Wright State Raiders,1000,Horizon,,FALSE
Wyoming Cowboys,1000,Mountain West,,FALSE
Xavier Musketeers,1000,Big East,,FALSE
Yale Bulldogs,1000,Ivy League,,FALSE
Youngstown State Penguins,1000,Horizon,,FALSE
Merrimack Warriors,1000,MAAC,,FALSE
Old Dominion Monarchs,1000,Sun Belt,,FALSE
UC San Diego Tritons,1000,Big West,,FALSE
Vanderbilt Commodores,1000,SEC,,FALSE
West Florida Argonauts,1000,,,FALSE
