Team,Elo,Conference,RatingUpdated
Quinnipiac Bobcats,1005.7126980084945,MAAC,True
Rider Broncs,763.5924356574664,MAAC,True
Sacred Heart Pioneers,954.309215509516,MAAC,False
Siena Saints,1029.1854128109721,MAAC,True
Saint Peter's Peacocks,1022.2572286249859,MAAC,True
Akron Zips,1187.2017857833548,MAC,False
Ball State Cardinals,883.4805725023754,MAC,False
Bowling Green Falcons,1000.132574705174,MAC,False
Buffalo Bulls,966.0445216935408,MAC,False
Central Michigan Chippewas,937.7158080479956,MAC,False
Eastern Michigan Eagles,889.2503212714653,MAC,False
Kent State Golden Flashes,1067.30800129489,MAC,False
Miami (OH) RedHawks,1218.5058896294706,MAC,False
Northern Illinois Huskies,828.3564193798517,MAC,False
Ohio Bobcats,979.2445880403184,MAC,False
Toledo Rockets,1033.335039497282,MAC,False
Massachusetts Minutemen,956.6411841893264,MAC,False
Western Michigan Broncos,912.6103101443564,MAC,False
Coppin State Eagles,797.0518574676662,MEAC,False
Delaware State Hornets,739.502921907936,MEAC,False
Howard Bison,1055.919524315928,MEAC,False
Maryland Eastern Shore Hawks,819.5280608804807,MEAC,False
Morgan State Bears,873.5771730733586,MEAC,False
North Carolina Central Eagles,831.852520631013,MEAC,False
Norfolk State Spartans,929.4671700864926,MEAC,False
South Carolina State Bulldogs,780.4245113815068,MEAC,False
Air Force Falcons,720.5156855014395,Mountain West,False
Boise State Broncos,1105.8124899925442,Mountain West,False
Colorado State Rams,1090.4725201798822,Mountain West,False
Fresno State Bulldogs,969.267985660706,Mountain West,False
Grand Canyon Lopes,1122.9228027847305,Mountain West,False
Nevada Wolf Pack,1093.111961522535,Mountain West,False
New Mexico Lobos,1155.89789579997,Mountain West,False
San Diego State Aztecs,1143.6898662217732,Mountain West,False
San Jose State Spartans,888.0267947316435,Mountain West,False
UNLV Rebels,1037.1831860149084,Mountain West,False
Utah State Aggies,1183.1987020771949,Mountain West,False
Wyoming Cowboys,1033.4892451657772,Mountain West,False
Belmont Bruins,1163.7698983904986,MVC,True
Bradley Braves,1074.34490179685,MVC,True
Drake Bulldogs,930.8260236757367,MVC,True
Evansville Purple Aces,835.3450757603011,MVC,True
Illinois State Redbirds,1085.3291420223588,MVC,True
Indiana State Sycamores,953.3178925624771,MVC,True
Murray State Racers,1018.5090668937484,MVC,True
Northern Iowa Panthers,1078.198802737015,MVC,True
Southern Illinois Salukis,1064.1270262927812,MVC,True
UIC Flames,1056.4004545454745,MVC,True
Valparaiso Beacons,1047.0574363566452,MVC,False
Central Connecticut Blue Devils,939.831844815018,NEC,False
Chicago State Cougars,842.3849847066571,NEC,False
Fairleigh Dickinson Knights,864.7246382523789,NEC,False
Le Moyne Dolphins,920.6852065589912,NEC,False
Long Island University Sharks,1037.0736387852312,NEC,False
Mercyhurst Lakers,954.501703283173,NEC,False
New Haven Chargers,905.8992798788844,NEC,False
Saint Francis Red Flash,781.5082261585231,NEC,False
Stonehill Skyhawks,866.4702547750093,NEC,False
Wagner Seahawks,922.207959012945,NEC,False
Eastern Illinois Panthers,870.5222445279977,OVC,False
Lindenwood Lions,927.8283666174632,OVC,False
Little Rock Trojans,917.0323012531032,OVC,False
Morehead State Eagles,1012.6948529546072,OVC,False
Southeast Missouri State Redhawks,1036.1107158934533,OVC,False
SIU Edwardsville Cougars,1002.1571330416364,OVC,False
Southern Indiana Screaming Eagles,834.316113560537,OVC,False
Tennessee State Tigers,1069.878557558718,OVC,False
Tennessee Tech Golden Eagles,921.825997724053,OVC,False
UT Martin Skyhawks,1009.6581024961492,OVC,False
Western Illinois Leathernecks,716.4234277174227,OVC,False
American University Eagles,931.5087233653172,Patriot,False
Army Black Knights,837.1349063930768,Patriot,False
Boston University Terriers,989.46042382909,Patriot,False
Bucknell Bison,831.8395106265789,Patriot,False
Colgate Raiders,958.1282692595616,Patriot,False
Holy Cross Crusaders,841.704652294141,Patriot,False
Lafayette Leopards,902.943397394052,Patriot,False
Lehigh Mountain Hawks,956.1968948745252,Patriot,False
Loyola Maryland Greyhounds,907.8188121872226,Patriot,False
Navy Midshipmen,1148.1959338750594,Patriot,False
