away team,home team,game date (Pacific)
NC State,North Carolina,2026-11-27
Pittsburgh,California,2026-11-27
Virginia,Virginia Tech,2026-11-27
Illinois,Northwestern,2026-11-27
Michigan State,Rutgers,2026-11-27
UConn,Wyoming,2026-11-27
Tulsa,UTSA,2026-11-27
Army,Rice,2026-11-27
Navy,Charlotte,2026-11-27
UAB,North Texas,2026-11-27
UTEP,Northern Illinois,2026-11-27
Coastal Carolina,James Madison,2026-11-27
Louisiana Tech,Georgia Southern,2026-11-27
Louisiana,Georgia State,2026-11-27
Marshall,UL Monroe,2026-11-27
Southern Miss,Old Dominion,2026-11-27
Michigan,Ohio State,2026-11-28
Central Michigan,Ball State,2026-11-28
Massachusetts,Bowling Green,2026-11-28
Kennesaw State,Western Kentucky,2026-11-28
Liberty,Missouri State,2026-11-28
Sam Houston,Florida International,2026-11-28
New Mexico State,Middle Tennessee,2026-11-28
Troy,Arkansas State,2026-11-28
Jacksonville State,Delaware,2026-11-28
Air Force,New Mexico,2026-11-28
Nevada,UNLV,2026-11-28
Sacramento State,Hawai'i,2026-11-28
Grambling,Southern,2026-11-28
Navy,Army,2026-12-12
