away team,home team,game date (Pacific)
San Diego,Idaho State,2026-09-12
Chattanooga,Eastern Kentucky,2026-09-12
Charleston Southern,The Citadel,2026-09-12
Furman,Mercer,2026-09-12
Indiana State,Eastern Illinois,2026-09-12
Valparaiso,Murray State,2026-09-12
Southeast Missouri State,Southern Illinois,2026-09-12
Oklahoma,Central Arkansas,2026-09-12
North Alabama,SE Louisiana,2026-09-12
Tarleton State,McNeese,2026-09-12
UT Rio Grande Valley,Nicholls,2026-09-12
Arkansas-Pine Bluff,Alcorn State,2026-09-12
Samford,Tennessee Tech,2026-09-12
Northwestern State,East Texas A&M,2026-09-12
Arkansas,Houston Christian,2026-09-12
New Haven,South Dakota State,2026-09-12
Tennessee State,Alabama A&M,2026-09-12
Stephen F. Austin,Abilene Christian,2026-09-12
North Dakota,Portland State,2026-09-12
Syracuse,Pittsburgh,2026-09-17
Miami,Wake Forest,2026-09-18
Houston,Texas Tech,2026-09-18
Portland State,Oregon,2026-09-18
Coastal Carolina,Delaware,2026-09-19
Kent State,Ohio State,2026-09-19
Georgia,Arkansas,2026-09-19
Buffalo,Penn State,2026-09-19
Tulane,Kansas State,2026-09-19
Bowling Green,Iowa State,2026-09-19
Arizona State,Kansas,2026-09-19
Mercer,Georgia Tech,2026-09-19
North Carolina,Clemson,2026-09-19
Akron,Minnesota,2026-09-19
North Texas,Texas State,2026-09-19
Eastern Michigan,Wisconsin,2026-09-19
Troy,Missouri,2026-09-19
NC State,Vanderbilt,2026-09-19
Wyoming,Central Michigan,2026-09-19
Maine,Boston College,2026-09-19
Southern Illinois,Illinois,2026-09-19
Temple,Toledo,2026-09-19
Kentucky,Texas A&M,2026-09-19
Florida State,Alabama,2026-09-19
USC,Rutgers,2026-09-19
UTEP,Michigan,2026-09-19
SMU,Louisville,2026-09-19
Utah State,Utah,2026-09-19
Miami (OH),Cincinnati,2026-09-19
Wagner,California,2026-09-19
Duquesne,Washington State,2026-09-19
Stonehill,Massachusetts,2026-09-19
Western Kentucky,Indiana,2026-09-19
Northern Iowa,Iowa,2026-09-19
Stanford,Duke,2026-09-19
Ball State,Liberty,2026-09-19
Louisiana Tech,Baylor,2026-09-19
Mississippi State,South Carolina,2026-09-19
SE Louisiana,UL Monroe,2026-09-19
East Carolina,Old Dominion,2026-09-19
Florida International,Florida Atlantic,2026-09-19
Charlotte,App State,2026-09-19
Marshall,Missouri State,2026-09-19
Florida,Auburn,2026-09-19
Georgia State,UCF,2026-09-19
Murray State,Oklahoma State,2026-09-19
UConn,Southern Miss,2026-09-19
UT Martin,Memphis,2026-09-19
Western Michigan,Rice,2026-09-19
Delaware State,South Florida,2026-09-19
Nevada,Middle Tennessee,2026-09-19
Ohio,South Alabama,2026-09-19
Georgia Southern,Jacksonville State,2026-09-19
Nicholls,Sam Houston,2026-09-19
Eastern Washington,Washington,2026-09-19
North Dakota,Nebraska,2026-09-19
Michigan State,Notre Dame,2026-09-19
LSU,Ole Miss,2026-09-19
New Mexico,Oklahoma,2026-09-19
BYU,Colorado State,2026-09-19
Colorado,Northwestern,2026-09-19
West Virginia,Virginia,2026-09-19
Virginia Tech,Maryland,2026-09-19
Kennesaw State,Tennessee,2026-09-19
UTSA,Texas,2026-09-19
Arkansas State,TCU,2026-09-19
East Texas A&M,Tulsa,2026-09-19
UAB,Louisiana,2026-09-19
South Dakota,Boise State,2026-09-19
James Madison,San Diego State,2026-09-19
Northern Illinois,Arizona,2026-09-19
North Dakota State,Sacramento State,2026-09-19
Purdue,UCLA,2026-09-19
Montana,Oregon State,2026-09-19
Fresno State,San Jose State,2026-09-19
Villanova,Long Island University,2026-09-18
Brown,New Haven,2026-09-19
Lafayette,Columbia,2026-09-19
Dartmouth,Lehigh,2026-09-19
West Georgia,East Tennessee State,2026-09-19
Princeton,Bryant,2026-09-19
Harvard,New Hampshire,2026-09-19
Chicago State,Butler,2026-09-19
Cornell,Colgate,2026-09-19
Valparaiso,Indiana State,2026-09-19
VMI,Davidson,2026-09-19
Yale,Holy Cross,2026-09-19
Rhode Island,Stony Brook,2026-09-19
Presbyterian,Western Carolina,2026-09-19
Eastern Illinois,Illinois State,2026-09-19
Central Connecticut,Montana State,2026-09-19
Pennsylvania,Bucknell,2026-09-19
Monmouth,UAlbany,2026-09-19
Georgetown,Richmond,2026-09-19
Hampton,Norfolk State,2026-09-19
Abilene Christian,Idaho,2026-09-19
Virginia,Bethune-Cookman,2026-09-19
North Carolina A&T,Campbell,2026-09-19
Sacred Heart,Elon,2026-09-19
Morgan State,Towson,2026-09-19
North Carolina Central,Gardner-Webb,2026-09-19
Fordham,William & Mary,2026-09-19
Dayton,Eastern Kentucky,2026-09-19
Wofford,Chattanooga,2026-09-19
Youngstown State,South Dakota State,2026-09-19
South Carolina State,Furman,2026-09-19
Austin Peay,West Florida,2026-09-19
Central Arkansas,Southeast Missouri State,2026-09-19
Alcorn State,North Alabama,2026-09-19
Tennessee State,Florida A&M,2026-09-19
Morehead State,Western Illinois,2026-09-19
Merrimack,Tarleton State,2026-09-19
Louisiana,Southern,2026-09-19
Houston Christian,Incarnate Word,2026-09-19
San Diego,Cal Poly,2026-09-19
Northern Arizona,Utah Tech,2026-09-19
Northwestern State,Weber State,2026-09-19
McNeese,UT Rio Grande Valley,2026-09-19
Stephen F. Austin,Prairie View A&M,2026-09-19
Stetson,UC Davis,2026-09-19
Liberty,Coastal Carolina,2026-09-24
Army,Temple,2026-09-25
Howard,Rutgers,2026-09-25
Navy,UAB,2026-09-25
Northwestern,Indiana,2026-09-25
Clemson,California,2026-09-25
Harvard,Brown,2026-09-25
Illinois,Ohio State,2026-09-25
Oregon,USC,2026-09-25
Oklahoma,Georgia,2026-09-25
Notre Dame,Purdue,2026-09-25
Texas A&M,LSU,2026-09-25
Ole Miss,Florida,2026-09-25
Sam Houston,Texas Tech,2026-09-25
South Carolina,Alabama,2026-09-25
Iowa,Michigan,2026-09-25
Minnesota,Washington,2026-09-25
Wisconsin,Penn State,2026-09-25
Missouri State,SMU,2026-09-25
Utah,Iowa State,2026-09-25
Houston,Georgia Southern,2026-09-25
Wake Forest,Louisville,2026-09-25
Missouri,Mississippi State,2026-09-25
Vanderbilt,Auburn,2026-09-25
Colorado,Baylor,2026-09-25
Kansas State,Cincinnati,2026-09-25
TCU,UCF,2026-09-25
Oklahoma State,West Virginia,2026-09-25
Central Arkansas,Florida State,2026-09-25
Delaware,Virginia,2026-09-25
Virginia Tech,Boston College,2026-09-25
UCLA,Maryland,2026-09-25
Nebraska,Michigan State,2026-09-25
San Diego State,Toledo,2026-09-25
Colorado State,UTSA,2026-09-25
Boise State,Western Michigan,2026-09-25
UConn,Miami (OH),2026-09-25
Louisiana,Charlotte,2026-09-25
Florida Atlantic,UL Monroe,2026-09-25
Southern Miss,Tulane,2026-09-25
South Florida,Bowling Green,2026-09-25
Air Force,Nevada,2026-09-25
Northern Illinois,Georgia State,2026-09-25
UNLV,Akron,2026-09-25
App State,NC State,2026-09-25
Ball State,Kent State,2026-09-25
Massachusetts,Sacramento State,2026-09-25
James Madison,Old Dominion,2026-09-25
Texas,Tennessee,2026-09-26
Bucknell,Pittsburgh,2026-09-26
South Alabama,Kentucky,2026-09-26
Lindenwood,Eastern Michigan,2026-09-26
Hawai'i,Wyoming,2026-09-26
William & Mary,Duke,2026-09-26
New Mexico,New Mexico State,2026-09-26
Robert Morris,Buffalo,2026-09-26
Stonehill,Ohio,2026-09-26
Gardner-Webb,Marshall,2026-09-26
North Carolina Central,East Carolina,2026-09-26
Incarnate Word,Texas State,2026-09-26
Long Island University,Florida International,2026-09-26
Central Michigan,Miami,2026-09-26
Kennesaw State,Arkansas State,2026-09-26
Mercyhurst,Western Kentucky,2026-09-26
Middle Tennessee,Jacksonville State,2026-09-26
Arizona,Washington State,2026-09-26
Troy,Utah State,2026-09-26
Houston Christian,North Texas,2026-09-26
Tulsa,Arkansas,2026-09-26
Oregon State,UTEP,2026-09-26
Rice,Fresno State,2026-09-26
Georgia Tech,Stanford,2026-09-26
Norfolk State,Chicago State,2026-09-25
Southern,Jackson State,2026-09-25
New Hampshire,Sacred Heart,2026-09-26
Presbyterian,Marist,2026-09-26
Columbia,Georgetown,2026-09-26
Holy Cross,Lafayette,2026-09-26
Monmouth,Dartmouth,2026-09-26
Stony Brook,Fordham,2026-09-26
Yale,Cornell,2026-09-26
North Dakota,Indiana State,2026-09-26
Lehigh,Pennsylvania,2026-09-26
Drake,Davidson,2026-09-26
New Haven,Merrimack,2026-09-26
Tennessee Tech,Wofford,2026-09-26
Maine,Elon,2026-09-26
South Dakota,Youngstown State,2026-09-26
Furman,Richmond,2026-09-26
UT Martin,Austin Peay,2026-09-26
Butler,Valparaiso,2026-09-26
Chattanooga,The Citadel,2026-09-26
Colgate,Villanova,2026-09-26
UAlbany,Princeton,2026-09-26
Western Carolina,East Tennessee State,2026-09-26
VMI,Samford,2026-09-26
Rhode Island,North Carolina A&T,2026-09-26
Western Illinois,North Alabama,2026-09-26
Texas Southern,Alcorn State,2026-09-26
Lamar,Nicholls,2026-09-26
Illinois State,Northern Iowa,2026-09-26
Campbell,Hampton,2026-09-26
Towson,Delaware State,2026-09-26
Mississippi Valley State,Alabama State,2026-09-26
Southern Illinois,Murray State,2026-09-26
South Carolina State,Bethune-Cookman,2026-09-26
Cal Poly,Eastern Washington,2026-09-26
Eastern Illinois,South Dakota State,2026-09-26
Alabama A&M,Florida A&M,2026-09-26
SE Louisiana,Northwestern State,2026-09-26
Prairie View A&M,Grambling,2026-09-26
East Texas A&M,McNeese,2026-09-26
West Florida,Southeast Missouri State,2026-09-26
Mercer,Abilene Christian,2026-09-26
Idaho State,Southern Utah,2026-09-26
Utah Tech,Northern Colorado,2026-09-26
Portland State,Weber State,2026-09-26
Montana,UC Davis,2026-09-26
Northern Arizona,Montana State,2026-09-26
Western Kentucky,New Mexico State,2026-10-01
North Texas,Tulsa,2026-10-01
Pittsburgh,Virginia Tech,2026-10-02
Liberty,Delaware,2026-10-02
Penn State,Northwestern,2026-10-02
Montana State,Idaho,2026-10-02
Ohio State,Iowa,2026-10-02
Vanderbilt,Georgia,2026-10-02
Notre Dame,North Carolina,2026-10-02
Miami,Clemson,2026-10-02
Arkansas,Texas A&M,2026-10-02
Texas Tech,Colorado,2026-10-02
Alabama,Mississippi State,2026-10-02
BYU,TCU,2026-10-02
Washington,USC,2026-10-02
Michigan,Minnesota,2026-10-02
Boston College,SMU,2026-10-02
Auburn,Tennessee,2026-10-02
UCF,Houston,2026-10-02
Louisville,NC State,2026-10-02
Florida,Missouri,2026-10-02
Kentucky,South Carolina,2026-10-02
Middle Tennessee,Kansas,2026-10-02
Baylor,Arizona State,2026-10-02
Cincinnati,Arizona,2026-10-02
West Virginia,Iowa State,2026-10-02
Stanford,Wake Forest,2026-10-02
Virginia,Florida State,2026-10-02
Purdue,Illinois,2026-10-02
Maryland,Nebraska,2026-10-02
Michigan State,Wisconsin,2026-10-02
Memphis,Charlotte,2026-10-02
UTSA,Rice,2026-10-02
Temple,South Florida,2026-10-02
UTEP,New Mexico,2026-10-02
Akron,Central Michigan,2026-10-02
Toledo,Ball State,2026-10-02
Western Michigan,Buffalo,2026-10-02
Eastern Michigan,Massachusetts,2026-10-02
Ohio,Kent State,2026-10-02
Bowling Green,Miami (OH),2026-10-02
Army,Louisiana Tech,2026-10-02
Arkansas State,Louisiana,2026-10-02
Georgia Southern,Coastal Carolina,2026-10-02
Old Dominion,Georgia State,2026-10-02
Marshall,James Madison,2026-10-02
UL Monroe,South Alabama,2026-10-02
Syracuse,UConn,2026-10-03
Navy,Air Force,2026-10-03
California,UNLV,2026-10-03
Samford,UAB,2026-10-03
Wyoming,North Dakota State,2026-10-03
Oregon State,Colorado State,2026-10-03
Texas Southern,Florida Atlantic,2026-10-03
Utah State,Boise State,2026-10-03
McNeese,LSU,2026-10-03
Indiana,Rutgers,2026-10-03
Fresno State,Washington State,2026-10-03
Texas State,San Diego State,2026-10-03
San Jose State,Hawai'i,2026-10-03
Wagner,Central Connecticut,2026-10-02
Brown,Rhode Island,2026-10-03
Princeton,Columbia,2026-10-03
Mercyhurst,Long Island University,2026-10-03
Fordham,Lehigh,2026-10-03
Merrimack,Yale,2026-10-03
Cornell,Georgetown,2026-10-03
Richmond,Lafayette,2026-10-03
Elon,New Hampshire,2026-10-03
Towson,Monmouth,2026-10-03
Morgan State,Villanova,2026-10-03
Dayton,Drake,2026-10-03
Marist,Stetson,2026-10-03
Valparaiso,Morehead State,2026-10-03
Pennsylvania,Dartmouth,2026-10-03
Mercer,VMI,2026-10-03
Murray State,North Dakota,2026-10-03
Norfolk State,Robert Morris,2026-10-03
The Citadel,South Carolina State,2026-10-03
Wofford,Furman,2026-10-03
Howard,Hampton,2026-10-03
Indiana State,South Dakota,2026-10-03
Alcorn State,Grambling,2026-10-03
Prairie View A&M,Mississippi Valley State,2026-10-03
Sacred Heart,Maine,2026-10-03
Delaware State,UAlbany,2026-10-03
Holy Cross,William & Mary,2026-10-03
Chattanooga,East Tennessee State,2026-10-03
Northern Colorado,Montana,2026-10-03
Tennessee State,Western Illinois,2026-10-03
Davidson,San Diego,2026-10-03
Alabama State,Bethune-Cookman,2026-10-03
Youngstown State,Southern Illinois,2026-10-03
New Haven,Austin Peay,2026-10-03
Alabama A&M,Jackson State,2026-10-03
North Carolina A&T,Bryant,2026-10-03
Campbell,North Carolina Central,2026-10-03
North Alabama,Eastern Kentucky,2026-10-03
Gardner-Webb,Charleston Southern,2026-10-03
Incarnate Word,Stephen F. Austin,2026-10-03
Tennessee Tech,Western Carolina,2026-10-03
Chicago State,Tarleton State,2026-10-03
Colgate,Harvard,2026-10-03
South Dakota State,Illinois State,2026-10-03
UT Rio Grande Valley,East Texas A&M,2026-10-03
Arkansas-Pine Bluff,Southern,2026-10-03
Northwestern State,Lamar,2026-10-03
Nicholls,Houston Christian,2026-10-03
West Florida,Abilene Christian,2026-10-03
Weber State,Cal Poly,2026-10-03
Northern Arizona,Idaho State,2026-10-03
Southern Utah,Utah Tech,2026-10-03
Eastern Washington,UC Davis,2026-10-03
Southern Miss,Troy,2026-10-06
Jacksonville State,Kennesaw State,2026-10-07
New Mexico State,Florida International,2026-10-07
Sam Houston,Liberty,2026-10-08
Missouri State,Western Kentucky,2026-10-08
South Florida,UTSA,2026-10-08
South Alabama,Arkansas State,2026-10-08
Florida State,Louisville,2026-10-09
Iowa,Washington,2026-10-09
Washington State,Utah State,2026-10-09
Wyoming,San Jose State,2026-10-09
Iowa State,BYU,2026-10-09
Columbia,Marist,2026-10-09
Maryland,Ohio State,2026-10-09
UCLA,Oregon,2026-10-09
Georgia,Alabama,2026-10-09
Indiana,Nebraska,2026-10-09
Texas A&M,Missouri,2026-10-09
Ole Miss,Vanderbilt,2026-10-09
LSU,Kentucky,2026-10-09
USC,Penn State,2026-10-09
Tennessee,Arkansas,2026-10-09
Kansas,Utah,2026-10-09
Houston,Kansas State,2026-10-09
South Carolina,Florida,2026-10-09
Hawai'i,Arizona State,2026-10-09
Arizona,West Virginia,2026-10-09
UCF,Oklahoma State,2026-10-09
Duke,Georgia Tech,2026-10-09
North Carolina,Pittsburgh,2026-10-09
Syracuse,Virginia,2026-10-09
Virginia Tech,California,2026-10-09
Wake Forest,NC State,2026-10-09
Illinois,Michigan State,2026-10-09
Ball State,Northwestern,2026-10-09
Minnesota,Purdue,2026-10-09
UConn,Temple,2026-10-09
Charlotte,North Texas,2026-10-09
Rice,East Carolina,2026-10-09
UAB,Memphis,2026-10-09
Nevada,UTEP,2026-10-09
Sacramento State,Bowling Green,2026-10-09
Buffalo,Toledo,2026-10-09
Central Michigan,Ohio,2026-10-09
Kent State,Western Michigan,2026-10-09
Miami (OH),Massachusetts,2026-10-09
Old Dominion,App State,2026-10-09
Coastal Carolina,Marshall,2026-10-09
James Madison,Georgia Southern,2026-10-09
Louisiana,Louisiana Tech,2026-10-09
Tulane,Army,2026-10-10
Stanford,Notre Dame,2026-10-10
Texas,Oklahoma,2026-10-10
Tulsa,Navy,2026-10-10
Eastern Michigan,Akron,2026-10-10
San Diego State,Oregon State,2026-10-10
North Dakota State,UNLV,2026-10-10
Air Force,Northern Illinois,2026-10-10
Boise State,Fresno State,2026-10-10
Princeton,Wagner,2026-10-09
New Hampshire,North Carolina A&T,2026-10-10
Stonehill,Sacred Heart,2026-10-10
Bryant,Brown,2026-10-10
Dartmouth,Yale,2026-10-10
Robert Morris,Morgan State,2026-10-10
Morehead State,Dayton,2026-10-10
Bucknell,Georgetown,2026-10-10
Harvard,Cornell,2026-10-10
Youngstown State,Indiana State,2026-10-10
Long Island University,Duquesne,2026-10-10
Howard,Pennsylvania,2026-10-10
William & Mary,North Carolina Central,2026-10-10
San Diego,Butler,2026-10-10
Samford,Chattanooga,2026-10-10
Wofford,Elon,2026-10-10
Southern Illinois,South Dakota,2026-10-10
Virginia,Norfolk State,2026-10-10
Drake,Valparaiso,2026-10-10
East Tennessee State,The Citadel,2026-10-10
Southeast Missouri State,Lindenwood,2026-10-10
Idaho,Weber State,2026-10-10
Arkansas,Alcorn State,2026-10-10
Western Carolina,Mercer,2026-10-10
Mississippi Valley State,Texas Southern,2026-10-10
Southern,Prairie View A&M,2026-10-10
Richmond,Fordham,2026-10-10
Eastern Illinois,Gardner-Webb,2026-10-10
UT Martin,Tennessee State,2026-10-10
Furman,Tennessee Tech,2026-10-10
Stony Brook,Towson,2026-10-10
Utah Tech,Portland State,2026-10-10
Florida A&M,Alabama State,2026-10-10
Incarnate Word,Lamar,2026-10-10
North Dakota,Northern Iowa,2026-10-10
Montana,Northern Arizona,2026-10-10
Jackson State,Grambling,2026-10-10
Davidson,Presbyterian,2026-10-10
South Carolina State,Charleston Southern,2026-10-10
Cal Poly,Idaho State,2026-10-10
West Georgia,Eastern Kentucky,2026-10-10
Tarleton State,Austin Peay,2026-10-10
Northern Colorado,Eastern Washington,2026-10-10
Bethune-Cookman,Alabama A&M,2026-10-10
Central Arkansas,Abilene Christian,2026-10-10
SE Louisiana,UT Rio Grande Valley,2026-10-10
Delaware,Middle Tennessee,2026-10-13
Florida International,Jacksonville State,2026-10-13
Kennesaw State,Missouri State,2026-10-14
Western Kentucky,Sam Houston,2026-10-14
East Carolina,UAB,2026-10-15
Georgia Southern,Old Dominion,2026-10-15
Colorado State,Texas State,2026-10-15
Memphis,Tulane,2026-10-16
Washington,Purdue,2026-10-16
App State,Coastal Carolina,2026-10-16
Columbia,Pennsylvania,2026-10-16
Ohio State,Indiana,2026-10-16
Nebraska,Oregon,2026-10-16
Auburn,Georgia,2026-10-16
Notre Dame,BYU,2026-10-16
Florida,Texas,2026-10-16
Florida State,Miami,2026-10-16
Missouri,Ole Miss,2026-10-16
Kentucky,Oklahoma,2026-10-16
Mississippi State,LSU,2026-10-16
Arizona State,Texas Tech,2026-10-16
Alabama,Tennessee,2026-10-16
Penn State,Michigan,2026-10-16
Virginia,SMU,2026-10-16
Utah,Colorado,2026-10-16
Oklahoma State,Houston,2026-10-16
Louisville,Syracuse,2026-10-16
